"GOODSCODE","BARCODE","DESCRIPTION","TRACECODE","BATCHNUMBER","PRODUCTIONDATE","EFFECTIVEDATE","INBOUNDDATE"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007J","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007K","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007L","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007M","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007N","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007O","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007P","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007Q","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007R","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007S","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007T","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007U","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007V","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007W","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007X","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007Y","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH00007Z","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH000080","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH000081","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH000082","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH000083","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH000084","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH000085","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH000086","","","","2013-05-28"
"A1O-184-00F-04","A1O-184-00F-04","Apple 苹果 iPad 第四代 配备Retina显示屏 MD514CH/A WIFI版 32GB 白色","SNSH000087","","","","2013-05-28"
